timestamp,temperature,spo2,bpm,condition
2025-04-19 15:49:55,40.21,89.6,105.7,salmonellosis
2025-04-19 15:49:56,40.68,91.2,119.6,salmonellosis
2025-04-19 15:49:57,40.28,86.2,109.0,salmonellosis
2025-04-19 15:49:58,40.01,85.2,116.2,salmonellosis
2025-04-19 15:49:59,40.86,87.7,111.9,salmonellosis
2025-04-19 15:50:00,40.85,88.7,114.9,salmonellosis
2025-04-19 15:50:01,40.46,87.7,117.7,salmonellosis
2025-04-19 15:50:02,39.88,86.7,101.0,salmonellosis
2025-04-19 15:50:03,40.87,86.9,101.9,salmonellosis
2025-04-19 15:50:04,39.2,88.9,102.4,salmonellosis
2025-04-19 15:50:05,39.66,87.2,112.8,salmonellosis
2025-04-19 15:50:06,39.1,89.0,105.4,salmonellosis
2025-04-19 15:50:07,40.54,90.5,116.9,salmonellosis
2025-04-19 15:50:08,40.33,85.8,107.0,salmonellosis
2025-04-19 15:50:09,39.73,90.7,107.2,salmonellosis
2025-04-19 15:50:10,40.78,90.4,116.9,salmonellosis
2025-04-19 15:50:11,39.88,85.5,116.9,salmonellosis
2025-04-19 15:50:12,40.54,86.8,116.2,salmonellosis
2025-04-19 15:50:13,40.36,87.7,110.7,salmonellosis
2025-04-19 15:50:14,40.31,85.7,116.8,salmonellosis
2025-04-19 15:50:15,40.27,87.9,101.4,salmonellosis
2025-04-19 15:50:16,40.92,87.1,104.3,salmonellosis
2025-04-19 15:50:17,40.02,87.9,116.4,salmonellosis
2025-04-19 15:50:18,39.17,85.9,117.7,salmonellosis
2025-04-19 15:50:19,39.36,91.1,104.7,salmonellosis
2025-04-19 15:50:20,40.29,90.7,117.1,salmonellosis
2025-04-19 15:50:21,40.68,91.6,117.3,salmonellosis
2025-04-19 15:50:22,39.24,85.8,102.9,salmonellosis
2025-04-19 15:50:23,40.32,91.6,101.2,salmonellosis
2025-04-19 15:50:24,40.03,90.2,116.4,salmonellosis
2025-04-19 15:50:25,40.58,91.7,107.5,salmonellosis
2025-04-19 15:50:26,40.86,86.2,100.8,salmonellosis
2025-04-19 15:50:27,40.75,90.1,116.8,salmonellosis
2025-04-19 15:50:28,40.4,88.2,103.1,salmonellosis
2025-04-19 15:50:29,39.94,90.9,116.4,salmonellosis
2025-04-19 15:50:30,39.69,86.0,111.9,salmonellosis
2025-04-19 15:50:31,39.81,86.1,116.4,salmonellosis
2025-04-19 15:50:32,40.51,86.6,105.7,salmonellosis
2025-04-19 15:50:33,40.87,87.2,119.9,salmonellosis
2025-04-19 15:50:34,39.2,90.0,112.3,salmonellosis
2025-04-19 15:50:35,39.7,89.9,109.3,salmonellosis
2025-04-19 15:50:36,40.39,87.3,103.3,salmonellosis
2025-04-19 15:50:37,40.46,91.0,110.1,salmonellosis
2025-04-19 15:50:38,39.94,85.4,104.0,salmonellosis
2025-04-19 15:50:39,39.94,86.2,114.9,salmonellosis
2025-04-19 15:50:40,39.24,91.8,107.1,salmonellosis
2025-04-19 15:50:41,39.39,88.0,110.9,salmonellosis
2025-04-19 15:50:42,39.44,87.2,119.8,salmonellosis
2025-04-19 15:50:43,40.02,86.5,102.5,salmonellosis
2025-04-19 15:50:44,39.29,88.3,106.4,salmonellosis
2025-04-19 15:50:45,40.55,85.7,118.0,salmonellosis
2025-04-19 15:50:46,40.8,90.7,112.5,salmonellosis
2025-04-19 15:50:47,40.34,85.3,112.9,salmonellosis
2025-04-19 15:50:48,40.54,89.1,111.9,salmonellosis
2025-04-19 15:50:49,39.28,86.6,112.5,salmonellosis
2025-04-19 15:50:50,40.9,90.1,113.6,salmonellosis
2025-04-19 15:50:51,40.19,86.8,108.6,salmonellosis
2025-04-19 15:50:52,40.62,87.8,105.5,salmonellosis
2025-04-19 15:50:53,40.73,91.8,110.9,salmonellosis
2025-04-19 15:50:54,40.16,86.2,100.2,salmonellosis
2025-04-19 15:50:55,39.18,91.4,118.4,salmonellosis
2025-04-19 15:50:56,40.11,90.7,113.6,salmonellosis
2025-04-19 15:50:57,39.37,88.7,102.3,salmonellosis
2025-04-19 15:50:58,39.16,87.7,105.5,salmonellosis
2025-04-19 15:50:59,39.49,86.6,119.8,salmonellosis
2025-04-19 15:51:00,40.36,87.0,112.0,salmonellosis
2025-04-19 15:51:01,40.07,85.3,113.8,salmonellosis
2025-04-19 15:51:02,40.14,88.0,103.4,salmonellosis
2025-04-19 15:51:03,40.2,87.0,115.8,salmonellosis
2025-04-19 15:51:04,39.61,87.0,106.1,salmonellosis
2025-04-19 15:51:05,39.98,87.8,115.7,salmonellosis
2025-04-19 15:51:06,40.38,89.1,115.8,salmonellosis
2025-04-19 15:51:07,40.96,86.7,108.7,salmonellosis
2025-04-19 15:51:08,40.95,91.4,114.8,salmonellosis
2025-04-19 15:51:09,39.23,91.4,110.3,salmonellosis
2025-04-19 15:51:10,39.28,91.2,107.7,salmonellosis
2025-04-19 15:51:11,39.68,86.4,111.1,salmonellosis
2025-04-19 15:51:12,40.78,91.6,111.9,salmonellosis
2025-04-19 15:51:13,39.72,90.3,113.3,salmonellosis
2025-04-19 15:51:14,39.88,88.8,108.5,salmonellosis
2025-04-19 15:51:15,40.85,91.9,111.4,salmonellosis
2025-04-19 15:51:16,40.09,87.3,113.6,salmonellosis
2025-04-19 15:51:17,40.5,89.0,104.5,salmonellosis
2025-04-19 15:51:18,40.04,86.8,117.4,salmonellosis
2025-04-19 15:51:19,40.75,88.3,104.9,salmonellosis
2025-04-19 15:51:20,40.9,89.9,114.2,salmonellosis
2025-04-19 15:51:21,40.21,85.7,119.6,salmonellosis
2025-04-19 15:51:22,39.66,91.0,112.2,salmonellosis
2025-04-19 15:51:23,40.4,85.9,106.7,salmonellosis
2025-04-19 15:51:24,40.54,87.8,108.6,salmonellosis
2025-04-19 15:51:25,40.57,90.2,104.7,salmonellosis
2025-04-19 15:51:26,39.61,85.6,103.2,salmonellosis
2025-04-19 15:51:27,40.42,86.0,118.6,salmonellosis
2025-04-19 15:51:28,39.36,86.2,118.3,salmonellosis
2025-04-19 15:51:29,39.8,89.7,102.6,salmonellosis
2025-04-19 15:51:30,39.92,90.2,106.8,salmonellosis
2025-04-19 15:51:31,39.77,87.5,113.3,salmonellosis
2025-04-19 15:51:32,40.35,86.9,101.3,salmonellosis
2025-04-19 15:51:33,40.46,85.9,116.4,salmonellosis
2025-04-19 15:51:34,40.24,91.0,118.2,salmonellosis
2025-04-19 15:51:35,39.82,89.6,109.4,salmonellosis
2025-04-19 15:51:36,39.75,85.4,119.2,salmonellosis
2025-04-19 15:51:37,39.17,89.1,114.4,salmonellosis
2025-04-19 15:51:38,39.2,86.0,101.1,salmonellosis
2025-04-19 15:51:39,39.13,90.0,115.1,salmonellosis
2025-04-19 15:51:40,40.66,91.4,117.6,salmonellosis
2025-04-19 15:51:41,39.01,91.5,102.7,salmonellosis
2025-04-19 15:51:42,40.81,86.3,112.0,salmonellosis
2025-04-19 15:51:43,39.68,89.0,113.8,salmonellosis
2025-04-19 15:51:44,39.21,86.2,116.0,salmonellosis
2025-04-19 15:51:45,40.01,89.0,116.3,salmonellosis
2025-04-19 15:51:46,40.55,88.4,115.6,salmonellosis
2025-04-19 15:51:47,40.56,86.8,114.0,salmonellosis
2025-04-19 15:51:48,40.58,85.9,113.8,salmonellosis
2025-04-19 15:51:49,39.6,88.0,107.2,salmonellosis
2025-04-19 15:51:50,39.8,86.1,102.4,salmonellosis
2025-04-19 15:51:51,39.91,89.6,114.2,salmonellosis
2025-04-19 15:51:52,39.8,88.6,107.9,salmonellosis
2025-04-19 15:51:53,40.83,88.5,104.0,salmonellosis
2025-04-19 15:51:54,40.13,88.9,113.7,salmonellosis
2025-04-19 15:51:55,40.0,88.9,110.9,salmonellosis
2025-04-19 15:51:56,39.01,87.9,102.6,salmonellosis
2025-04-19 15:51:57,40.85,85.6,109.7,salmonellosis
2025-04-19 15:51:58,40.31,89.6,101.5,salmonellosis
2025-04-19 15:51:59,40.13,91.7,115.9,salmonellosis
2025-04-19 15:52:00,39.38,90.3,117.7,salmonellosis
2025-04-19 15:52:01,40.58,90.4,117.5,salmonellosis
2025-04-19 15:52:02,39.74,89.0,116.4,salmonellosis
2025-04-19 15:52:03,40.06,91.2,114.4,salmonellosis
2025-04-19 15:52:04,40.05,90.5,105.0,salmonellosis
2025-04-19 15:52:05,39.56,91.2,107.6,salmonellosis
2025-04-19 15:52:06,40.8,86.6,111.5,salmonellosis
2025-04-19 15:52:07,40.92,89.1,103.4,salmonellosis
2025-04-19 15:52:08,40.68,91.7,103.0,salmonellosis
2025-04-19 15:52:09,40.49,90.0,117.0,salmonellosis
2025-04-19 15:52:10,39.63,88.7,118.8,salmonellosis
2025-04-19 15:52:11,40.68,91.7,109.2,salmonellosis
2025-04-19 15:52:12,40.35,86.8,117.7,salmonellosis
2025-04-19 15:52:13,40.5,85.4,111.7,salmonellosis
2025-04-19 15:52:14,39.19,88.4,109.6,salmonellosis
2025-04-19 15:52:15,39.23,88.2,104.9,salmonellosis
2025-04-19 15:52:16,40.32,86.2,114.8,salmonellosis
2025-04-19 15:52:17,40.52,86.6,116.9,salmonellosis
2025-04-19 15:52:18,40.0,90.0,107.7,salmonellosis
